FAMSUP,STUBEHA,STAFFSHORT,PROPSUPP,SCHSIZE,RATCMP1,BULLIED,LANGN_Italian,LANGN_Other,REPEAT_Never repeated,REPEAT_Repeated at lease once,SCHLTYPE_Private Government-dependent,SCHLTYPE_Private independent,SCHLTYPE_Public,IMMIG_Immig student,IMMIG_Native student,external_evaluation_Missing,external_evaluation_No,"external_evaluation_Yes, based on school initiative","external_evaluation_Yes, this is mandatory, e.g. based on district or ministry policies",Gender_Female,Gender_Male,additional_math_classes_Missing,additional_math_classes_No,additional_math_classes_Yes,PROGN_Academic,PROGN_Technical,PROGN_Vocational,CLSIZE,math_grouping,degree_of_competition,municipality_size,EDUSHORT_binned,ESCS,INSTLEAD,TEACHBEHA,DIGPREP,STRESAGR,EMOCOAGR,ANXMAT,COOPAGR,PERSEVAGR,BELONG,SCHAUTO_ORDINAL,track_student_attendance,PROATCE,SCSUPRTED,PROBSCRI
0.5851704229594622,-0.21289583234149348,-0.1657757348110323,1.5459044027511795,-1.075620663991122,-0.9803229403001895,-0.9440440991232579,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,-1.0706,-0.12002000000000006,-0.5047600000000001,-0.19326000000000002,0.4483,0.9935,0.1748,3.6769,1.8381,0.8273,2.0,1,1,1,1
-0.019366864848532176,-0.33927357155609283,0.49053247676989475,0.5526391616309118,0.396775085811029,0.5685437318230695,1.5196833860347059,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,-1.5967,-0.34948,-0.13838,-0.17652,0.0213,0.13496000000000002,0.1931,0.74,0.7239,-0.5481,2.0,1,1,1,1
0.4794386528890748,-1.1948576149692458,0.4685774686714079,0.5278533191997554,0.10590605476784376,-0.7490213436095097,0.3189273942444166,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,-2.3091,0.29457999999999995,0.4627,-0.013539999999999996,-0.5309,-0.3993,1.4533,-0.6415,-0.6184,0.0311,2.0,1,1,1,1
-0.019366864848532176,-0.33927357155609283,0.49053247676989475,-0.02900995495880865,-0.04229786411607301,0.6763334788413743,1.488873263013044,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,-0.3924,-0.65862,-0.22824000000000008,-0.8680200000000001,-1.1219,-1.1347,-0.0394,-0.9799,-0.0257,-2.3814,2.0,1,1,1,1
0.7337645373502186,0.24743649014107505,0.8192436360302848,-0.7401900965169179,0.37193780508595686,0.3330386550910289,1.119096557190577,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,-0.602,-0.33093999999999996,-0.35048,-0.93642,-0.059,0.5101,-0.8811,-0.5283,-0.4348,-0.4375,2.0,1,1,1,1
-1.1799523168490702,-0.4017790097680816,1.5543074809080626,1.6312756023772903,0.7212974216412882,0.44355337486196095,0.3975896890609361,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,-0.5597,0.15968,0.31973999999999997,-0.32789999999999997,-0.14579999999999999,0.0884,0.1931,-0.30774,-1.0950199999999999,-0.6458,2.0,1,1,1,1
-0.5453130343393504,-0.3300806555680681,0.13818458504212655,0.7606341550821412,-0.7264335355525613,0.42889241765268676,1.6315597544383533,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,-0.1149,-0.62994,-0.017259999999999998,0.23762,0.2504,-0.3034,1.0508,-0.1402,-0.9174,-1.1045,2.0,1,1,1,1
-0.019366864848532176,-0.33927357155609283,0.49053247676989475,0.6199653412834384,0.17123610147370755,0.45318956424645473,0.7698801384359132,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,-1.0565,-0.38892,0.007019999999999971,-0.1496,-0.1346,-0.3245,0.602,0.139,-0.4078,0.8273,2.0,1,1,1,1
-0.019366864848532176,-0.33927357155609283,0.49053247676989475,0.5278533191997554,0.10590605476784376,-0.7490213436095097,0.3189273942444166,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,-1.2541,-0.07509999999999999,-0.7049000000000001,-0.051539999999999996,-0.0583,-0.5445,-0.6243,-0.3422,-0.2506,-0.338,2.0,1,1,1,1
-0.019366864848532176,-0.33927357155609283,0.49053247676989475,0.7606341550821412,-0.7264335355525613,0.42889241765268676,1.6319235285433238,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,0.4192,0.33304,-0.4197,-0.03143999999999998,-4.3346,-0.3549,0.429,1.0751,-0.3905,-0.7838,2.0,1,1,1,1
