FAMSUP,STUBEHA,STAFFSHORT,PROPSUPP,SCHSIZE,RATCMP1,LANGN_Other,REPEAT_Repeated at lease once,SCHLTYPE_Private independent,SCHLTYPE_Public,IMMIG_Native student,external_evaluation_No,"external_evaluation_Yes, based on school initiative","external_evaluation_Yes, this is mandatory, e.g. based on district or ministry policies",Gender_Male,additional_math_classes_No,additional_math_classes_Yes,PROGN_Technical,PROGN_Vocational,CLSIZE,math_grouping,degree_of_competition,municipality_size,EDUSHORT_binned,ESCS,INSTLEAD,TEACHBEHA,DIGPREP,SCHAUTO_ORDINAL,track_student_attendance,PROATCE,SCSUPRTED,PROBSCRI
0.5851704229594622,-0.21289583234149348,-0.1657757348110323,0.2232109595676299,0.13228810265383856,0.26132803803606447,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,-1.0706,-0.8705,0.6456200000000001,0.3346,2.0,0,0,0,0
-0.019366864848532176,-0.33927357155609283,0.49053247676989475,0.2232109595676299,0.13228810265383856,0.26132803803606447,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,-1.5967,0.11098,-0.23612000000000002,0.20202,2.0,0,0,0,0
0.4794386528890748,-1.1948576149692458,0.4685774686714079,0.2232109595676299,0.13228810265383856,0.26132803803606447,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,-2.3091,-0.044660000000000054,0.7616799999999999,-0.41934000000000005,2.0,0,0,0,0
-0.019366864848532176,-0.33927357155609283,0.49053247676989475,0.2232109595676299,0.13228810265383856,0.26132803803606447,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,-0.3924,-0.6774600000000001,0.56432,-0.39848,2.0,0,0,0,0
0.7337645373502186,0.24743649014107505,0.8192436360302848,0.2232109595676299,0.13228810265383856,0.26132803803606447,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,-0.602,0.20048000000000005,0.79922,-0.16542,2.0,0,0,0,0
-1.1799523168490702,-0.4017790097680816,1.5543074809080626,0.2232109595676299,0.13228810265383856,0.26132803803606447,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,-0.5597,-0.15088,-0.28598,0.20911999999999997,2.0,0,0,0,0
-0.5453130343393504,-0.3300806555680681,0.13818458504212655,0.2232109595676299,0.13228810265383856,0.26132803803606447,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,-0.1149,-0.31382000000000004,0.8387,-0.01988000000000001,2.0,0,0,0,0
-0.019366864848532176,-0.33927357155609283,0.49053247676989475,0.2232109595676299,0.13228810265383856,0.26132803803606447,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,-1.0565,0.012259999999999983,0.19718,-0.05412,2.0,0,0,0,0
-0.019366864848532176,-0.33927357155609283,0.49053247676989475,0.2232109595676299,0.13228810265383856,0.26132803803606447,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,-1.2541,0.14743999999999996,-0.27546,0.29906000000000005,2.0,0,0,0,0
-0.019366864848532176,-0.33927357155609283,0.49053247676989475,0.2232109595676299,0.13228810265383856,0.26132803803606447,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,0.4192,-0.26454,1.02562,-0.17448000000000002,2.0,0,0,0,0
-0.06002979517410768,-0.249193262811889,0.4317165034277362,0.2232109595676299,0.13228810265383856,0.26132803803606447,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,-0.6688,0.07279999999999998,0.9713,-0.024899999999999995,2.0,0,0,0,0
-0.019366864848532176,-0.33927357155609283,0.49053247676989475,0.2232109595676299,0.13228810265383856,0.26132803803606447,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,-1.9365,-0.09753999999999999,0.10202,-0.17450000000000002,2.0,0,0,0,0
0.24128014138792878,-0.2651466981473056,0.09124145989921485,0.2232109595676299,0.13228810265383856,0.26132803803606447,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,-1.0251,-0.24585999999999997,0.56904,-0.31883999999999996,2.0,0,0,0,0
-1.3440981439757944,0.2747437136506804,1.0317242880515836,0.2232109595676299,0.13228810265383856,0.26132803803606447,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,0.3208,-0.23714,0.1642,-0.38364000000000004,2.0,0,0,0,0
-1.3425862832260052,0.2092913000571366,0.3524600896924975,0.2232109595676299,0.13228810265383856,0.26132803803606447,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,-0.8092,0.26159999999999994,0.8949999999999999,0.08217999999999999,2.0,0,0,0,0
-0.019366864848532176,-0.33927357155609283,0.49053247676989475,0.2232109595676299,0.13228810265383856,0.26132803803606447,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,-1.8894,0.38499999999999995,0.75204,-0.30607999999999996,2.0,0,0,0,0
1.5409599416081778,-0.1120437172405424,1.2289155466648514,0.2232109595676299,0.13228810265383856,0.26132803803606447,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,-1.0054,-0.804,0.63088,0.42481999999999986,2.0,0,0,0,0
-0.18125823038689676,-0.7466524533854338,0.5096628495957282,0.2232109595676299,0.13228810265383856,0.26132803803606447,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,-0.6054,0.30297999999999997,-0.38026,0.3378,2.0,0,0,0,0
